speciesId,species_legacy_id,species_lsid,family,genus,species,subspecies,author,year,parentheses,distribution,validSpeciesId,taxonStatus
6625,1,urn:lsid:nmbe.ch:spidersp:000896,Actinopodidae,Actinopus,caraiba,,Simon,1889,1,Venezuela,,VALID
6626,2,urn:lsid:nmbe.ch:spidersp:000898,Actinopodidae,Actinopus,crassipes,,Keyserling,1891,1,"Brazil, Paraguay, Argentina",,VALID
6627,3,urn:lsid:nmbe.ch:spidersp:000899,Actinopodidae,Actinopus,cucutaensis,,Mello-Leitão,1941,0,"Colombia, Venezuela, Brazil",,VALID
6628,4,urn:lsid:nmbe.ch:spidersp:000900,Actinopodidae,Actinopus,dubiomaculatus,,Mello-Leitão,1923,0,Brazil,,VALID
6629,5,urn:lsid:nmbe.ch:spidersp:000901,Actinopodidae,Actinopus,echinus,,Mello-Leitão,1949,0,Brazil,,VALID
6630,6,urn:lsid:nmbe.ch:spidersp:000902,Actinopodidae,Actinopus,fractus,,Mello-Leitão,1920,0,Brazil,,VALID
6631,7,urn:lsid:nmbe.ch:spidersp:000903,Actinopodidae,Actinopus,harti,,Pocock,1895,0,Trinidad,,VALID
6632,8,urn:lsid:nmbe.ch:spidersp:000904,Actinopodidae,Actinopus,insignis,,Holmberg,1881,1,"Uruguay, Argentina",,VALID
6633,9,urn:lsid:nmbe.ch:spidersp:000905,Actinopodidae,Actinopus,liodon,,Ausserer,1875,1,Uruguay,6634,SYNONYM
6634,10,urn:lsid:nmbe.ch:spidersp:000906,Actinopodidae,Actinopus,longipalpis,,"C. L. Koch",1842,0,"Paraguay, Uruguay, Argentina",,VALID
6635,11,urn:lsid:nmbe.ch:spidersp:000907,Actinopodidae,Actinopus,nattereri,,Doleschall,1871,1,Brazil,,VALID
6636,12,urn:lsid:nmbe.ch:spidersp:000908,Actinopodidae,Actinopus,nigripes,,Lucas,1834,1,Brazil,,VALID
6637,13,urn:lsid:nmbe.ch:spidersp:000909,Actinopodidae,Actinopus,paranensis,,Mello-Leitão,1920,0,Brazil,,VALID
6639,15,urn:lsid:nmbe.ch:spidersp:000911,Actinopodidae,Actinopus,piceus,,Ausserer,1871,1,Brazil,,VALID
6640,16,urn:lsid:nmbe.ch:spidersp:000912,Actinopodidae,Actinopus,princeps,,Chamberlin,1917,0,Brazil,,VALID
6641,17,urn:lsid:nmbe.ch:spidersp:000913,Actinopodidae,Actinopus,pusillus,,Mello-Leitão,1920,0,Brazil,,VALID
6642,18,urn:lsid:nmbe.ch:spidersp:000914,Actinopodidae,Actinopus,robustus,,"O. Pickard-Cambridge",1892,1,Panama,,VALID
6643,19,urn:lsid:nmbe.ch:spidersp:000915,Actinopodidae,Actinopus,rojasi,,Simon,1889,1,Venezuela,,VALID
6644,20,urn:lsid:nmbe.ch:spidersp:000916,Actinopodidae,Actinopus,rufibarbis,,Mello-Leitão,1930,0,Brazil,,VALID
6645,21,urn:lsid:nmbe.ch:spidersp:000917,Actinopodidae,Actinopus,rufipes,,Lucas,1834,1,Brazil,,VALID
6646,22,urn:lsid:nmbe.ch:spidersp:000918,Actinopodidae,Actinopus,scalops,,Simon,1889,1,Venezuela,,VALID
6647,23,urn:lsid:nmbe.ch:spidersp:000919,Actinopodidae,Actinopus,tarsalis,,Perty,1833,0,Brazil,,VALID
6648,24,urn:lsid:nmbe.ch:spidersp:000920,Actinopodidae,Actinopus,trinotatus,,Mello-Leitão,1938,0,Brazil,,VALID
6649,25,urn:lsid:nmbe.ch:spidersp:000921,Actinopodidae,Actinopus,valencianus,,Simon,1889,1,Venezuela,,VALID
6650,26,urn:lsid:nmbe.ch:spidersp:000922,Actinopodidae,Actinopus,wallacei,,"F. O. Pickard-Cambridge",1896,0,Brazil,,VALID
6651,27,urn:lsid:nmbe.ch:spidersp:000923,Actinopodidae,Actinopus,xenus,,Chamberlin,1917,0,"South America (details unknown)",,VALID
6652,28,urn:lsid:nmbe.ch:spidersp:000924,Actinopodidae,Missulena,bradleyi,,Rainbow,1914,0,"Australia (New South Wales)",,VALID
6653,29,urn:lsid:nmbe.ch:spidersp:000925,Actinopodidae,Missulena,dipsaca,,Faulder,1995,0,Australia,,VALID
6654,30,urn:lsid:nmbe.ch:spidersp:045858,Actinopodidae,Missulena,faulderi,,"Harms & Framenau",2013,0,"Australia (Western Australia)",,VALID
6655,31,urn:lsid:nmbe.ch:spidersp:000926,Actinopodidae,Missulena,granulosa,,"O. Pickard-Cambridge",1869,1,"Australia (Western Australia)",,VALID
6656,32,urn:lsid:nmbe.ch:spidersp:000927,Actinopodidae,Missulena,hoggi,,Womersley,1943,0,"Australia (Western Australia)",,VALID
6657,33,urn:lsid:nmbe.ch:spidersp:000928,Actinopodidae,Missulena,insignis,,"O. Pickard-Cambridge",1877,1,Australia,,VALID
6658,34,urn:lsid:nmbe.ch:spidersp:045859,Actinopodidae,Missulena,langlandsi,,"Harms & Framenau",2013,0,"Australia (Western Australia)",,VALID
6659,35,urn:lsid:nmbe.ch:spidersp:000929,Actinopodidae,Missulena,occatoria,,Walckenaer,1805,0,"Australia (Southern Australia)",,VALID
6660,36,urn:lsid:nmbe.ch:spidersp:000930,Actinopodidae,Missulena,pruinosa,,Levitt-Gregg,1966,0,"Australia (Western Australia, Northern Territory)",,VALID
6661,37,urn:lsid:nmbe.ch:spidersp:000931,Actinopodidae,Missulena,reflexa,,"Rainbow & Pulleine",1918,0,"Australia (South Australia)",,VALID
6662,38,urn:lsid:nmbe.ch:spidersp:000932,Actinopodidae,Missulena,rutraspina,,Faulder,1995,0,"Australia (Western Australia, South Australia, Victoria)",,VALID
6663,39,urn:lsid:nmbe.ch:spidersp:000933,Actinopodidae,Missulena,torbayensis,,Main,1996,0,"Australia (Western Australia)",,VALID
6664,40,urn:lsid:nmbe.ch:spidersp:000934,Actinopodidae,Missulena,tussulena,,Goloboff,1994,0,Chile,,VALID
6665,41,urn:lsid:nmbe.ch:spidersp:000935,Actinopodidae,Plesiolena,bonneti,,Zapfe,1961,1,Chile,,VALID
6666,42,urn:lsid:nmbe.ch:spidersp:000936,Actinopodidae,Plesiolena,jorgelina,,Goloboff,1994,0,Chile,,VALID
6667,43,urn:lsid:nmbe.ch:spidersp:041793,Agelenidae,Acutipetala,donglini,,"Dankittipakul & Zhang",2008,0,Thailand,,VALID
6668,44,urn:lsid:nmbe.ch:spidersp:041792,Agelenidae,Acutipetala,octoginta,,"Dankittipakul & Zhang",2008,0,Thailand,,VALID
6669,45,urn:lsid:nmbe.ch:spidersp:020824,Agelenidae,Gorbiscape,agelenoides,,Walckenaer,1841,1,"Western Mediterranean",,VALID
